zipcode,major_city,county,state,population,population_density,land_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income
20001,Washington,District of Columbia,DC,38551,17689,2.18,18751,16500,495300,78848
20002,Washington,District of Columbia,DC,52370,9961,5.26,26166,22973,428500,65000
20003,Washington,District of Columbia,DC,26454,11799,2.24,13216,11724,616000,107966
20004,Washington,District of Columbia,DC,1622,4659,0.35,1543,1127,470700,126765
20005,Washington,District of Columbia,DC,12775,29979,0.43,9218,8316,493900,81864
20006,Washington,District of Columbia,DC,3227,9518,0.34,940,874,231700,30208
20007,Washington,District of Columbia,DC,26866,8935,3.01,13849,12780,820700,107511
20008,Washington,District of Columbia,DC,27525,9064,3.04,17244,15804,679400,100953
20009,Washington,District of Columbia,DC,47992,36495,1.32,29093,26825,539400,88684
20010,Washington,District of Columbia,DC,30138,27801,1.08,13861,12639,474500,65287
20011,Washington,District of Columbia,DC,58536,12002,4.88,25082,23035,376900,54488
20012,Washington,District of Columbia,DC,13414,5931,2.26,6058,5708,542600,78356
20013,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20015,Washington,District of Columbia,DC,15332,4442,3.45,6756,6447,869100,159016
20016,Washington,District of Columbia,DC,32519,7324,4.44,14842,13743,817000,118141
20017,Washington,District of Columbia,DC,17735,8026,2.21,7729,7278,344900,56980
20018,Washington,District of Columbia,DC,16894,5602,3.02,7652,7005,355500,52317
20019,Washington,District of Columbia,DC,54358,8810,6.17,25109,22076,223100,34832
20020,Washington,District of Columbia,DC,49864,10809,4.61,22753,20159,268200,34685
20022,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20023,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20024,Washington,District of Columbia,DC,11510,4403,2.61,7732,6790,317200,72870
20026,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20027,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20029,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20030,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20032,Washington,District of Columbia,DC,35653,6788,5.25,15681,13658,226100,31184
20033,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20035,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20036,Washington,District of Columbia,DC,5435,16327,0.33,4269,3876,388600,78935
20037,Washington,District of Columbia,DC,14642,22724,0.64,8154,6667,562300,76948
20038,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20039,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20040,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20041,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20042,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20043,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20044,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20045,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20046,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20047,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20049,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20050,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20051,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20052,Washington,District of Columbia,DC,470,172372,0,6,6,NA,NA
20053,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20055,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20056,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20057,Washington,District of Columbia,DC,3888,23193,0.17,0,0,NA,NA
20058,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20059,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20060,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20061,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20062,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20063,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20064,Washington,District of Columbia,DC,1890,9672,0.2,1,1,NA,NA
20065,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20066,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20067,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20068,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20069,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20070,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20071,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20073,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20074,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20075,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20076,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20077,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20078,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20080,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20081,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20082,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20088,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20090,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20091,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20097,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20098,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20201,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20202,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20203,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20204,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20206,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20207,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20208,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20210,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20211,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20212,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20213,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20214,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20215,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20216,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20217,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20218,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20219,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20220,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20221,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20222,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20223,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20224,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20226,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20227,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20228,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20229,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20230,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20232,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20233,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20235,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20237,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20238,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20239,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20240,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20241,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20242,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20244,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20245,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20250,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20251,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20254,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20260,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20261,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20262,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20265,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20266,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20268,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20270,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20277,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20289,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20299,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20301,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20303,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20306,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20307,Washington,District of Columbia,DC,353,2669,0.13,0,0,NA,NA
20310,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20314,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20317,Washington,District of Columbia,DC,903,1982,0.46,1014,696,NA,21591
20318,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20319,Washington,District of Columbia,DC,84,601,0.14,0,0,NA,NA
20330,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20340,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20350,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20355,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20370,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20372,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20373,Naval Anacost Annex,District of Columbia,DC,131,362,0.36,0,0,NA,NA
20374,Washington Navy Yard,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20375,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20376,Washington Navy Yard,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20380,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20388,Washington Navy Yard,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20389,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20390,Washington,District of Columbia,DC,584,138322,0,0,0,NA,NA
20391,Washington Navy Yard,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20392,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20393,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20394,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20395,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20398,Washington Navy Yard,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20401,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20402,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20403,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20404,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20405,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20406,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20407,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20408,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20409,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20410,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20411,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20412,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20413,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20414,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20415,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20416,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20418,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20419,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20420,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20421,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20422,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20423,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20424,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20425,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20426,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20427,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20428,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20429,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20431,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20433,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20434,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20435,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20436,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20437,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20439,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20440,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20441,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20442,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20444,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20447,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20451,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20453,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20456,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20460,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20463,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20468,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20469,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20470,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20472,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20500,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20501,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20502,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20503,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20504,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20505,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20506,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20507,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20508,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20509,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20510,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20511,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20515,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20520,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20521,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20522,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20523,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20524,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20525,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20526,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20527,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20528,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20529,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20530,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20531,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20532,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20533,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20534,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20535,Washington,District of Columbia,DC,8,1604,0,0,0,NA,NA
20536,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20537,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20538,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20539,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20540,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20541,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20542,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20543,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20544,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20546,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20547,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20548,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20549,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20551,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20552,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20553,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20554,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20555,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20557,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20558,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20559,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20560,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20565,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20566,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20570,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20571,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20572,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20573,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20575,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20576,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20577,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20578,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20579,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20580,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20581,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20585,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20586,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20590,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20591,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20593,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20594,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20597,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20599,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
